	artist	track	genre	time	days	date.peaked	week	rating	days_to_peak	rank
1	Santana	Maria, Maria	Rock	4.18	2000-02-12	2000-04-08	1	15	56 days 00:00:00.000000000	36
3	Madonna	Music	Rock	3.45	2000-08-12	2000-09-16	1	41	35 days 00:00:00.000000000	10
30	N'Sync	Bye Bye Bye	Rock	3.15	2000-01-29	2000-04-15	1	42	77 days 00:00:00.000000000	9
35	"Elliott, Missy ""Misdemeanor"""	Hot Boyz	Rap	3.51	1999-11-27	2000-01-08	1	36	42 days 00:00:00.000000000	15
45	Pink	There U Go	Rock	3.23	2000-03-04	2000-04-08	1	25	35 days 00:00:00.000000000	26
52	Backstreet Boys, The	Shape Of My Heart	Rock	3.49	2000-10-14	2000-12-02	1	39	49 days 00:00:00.000000000	12
60	Martin, Ricky	She Bangs	Latin	4.02	2000-10-07	2000-12-02	1	38	56 days 00:00:00.000000000	13
74	Dixie Chicks, The	Goodbye Earl	Country	4.19	2000-03-18	2000-05-06	1	40	49 days 00:00:00.000000000	11
75	Guy	Dancin'	R&B	4.08	1999-12-18	2000-01-01	1	46	14 days 00:00:00.000000000	5
76	Lil Bow Wow	Bounce With Me	Rap	3.22	2000-08-19	2000-09-16	1	48	28 days 00:00:00.000000000	3
80	Hanson	This Time Around	Country	4.14	2000-04-22	2000-05-06	1	22	14 days 00:00:00.000000000	29
114	Carey, Mariah	Crybaby	Rock	5.19	2000-06-24	2000-06-24	1	28	0 days 00:00:00.000000000	23
117	Madonna	American Pie	Rock	4.3	2000-02-19	2000-03-04	1	43	14 days 00:00:00.000000000	8
175	Pearl Jam	Nothing As It Seems	Rock	5.2	2000-05-13	2000-05-13	1	49	0 days 00:00:00.000000000	2
318	Santana	Maria, Maria	Rock	4.18	2000-02-12	2000-04-08	2	8	56 days 00:00:00.000000000	43
319	Savage Garden	I Knew I Loved You	Rock	4.07	1999-10-23	2000-01-29	2	48	98 days 00:00:00.000000000	3
320	Madonna	Music	Rock	3.45	2000-08-12	2000-09-16	2	23	35 days 00:00:00.000000000	28
321	Aguilera, Christina	Come On Over Baby (All I Want Is You)	Rock	3.38	2000-08-05	2000-10-14	2	47	70 days 00:00:00.000000000	4
324	Iglesias, Enrique	Be With You	Latin	3.36	2000-04-01	2000-06-24	2	45	84 days 00:00:00.000000000	6
332	matchbox twenty	Bent	Rock	4.12	2000-04-29	2000-07-22	2	37	84 days 00:00:00.000000000	14
339	98¡	Give Me Just One Night (Una Noche)	Rock	3.24	2000-08-19	2000-09-30	2	39	42 days 00:00:00.000000000	12
343	Aguilera, Christina	I Turn To You	Rock	4.0	2000-04-15	2000-07-01	2	39	77 days 00:00:00.000000000	12
347	N'Sync	Bye Bye Bye	Rock	3.15	2000-01-29	2000-04-15	2	20	77 days 00:00:00.000000000	31
348	Eminem	The Real Slim Shady	Rap	4.42	2000-05-06	2000-06-24	2	32	49 days 00:00:00.000000000	19
352	"Elliott, Missy ""Misdemeanor"""	Hot Boyz	Rap	3.51	1999-11-27	2000-01-08	2	21	42 days 00:00:00.000000000	30
354	N'Sync	This I Promise You	Rock	4.23	2000-09-30	2000-12-02	2	31	63 days 00:00:00.000000000	20
355	Ruff Endz	No More	Rock	3.56	2000-07-01	2000-09-02	2	38	63 days 00:00:00.000000000	13
360	Eiffel 65	Blue (Da Ba Dee)	Electronica	3.29	1999-12-11	2000-01-29	2	29	49 days 00:00:00.000000000	22
362	Pink	There U Go	Rock	3.23	2000-03-04	2000-04-08	2	15	35 days 00:00:00.000000000	36
368	Spears, Britney	Oops!.. I Did It Again	Rock	3.3	2000-04-22	2000-06-10	2	38	49 days 00:00:00.000000000	13
369	Backstreet Boys, The	Shape Of My Heart	Rock	3.49	2000-10-14	2000-12-02	2	25	49 days 00:00:00.000000000	26
374	Jay-Z	I Just Wanna Love U (Give It 2 Me)	Rap	3.5	2000-10-28	2000-12-30	2	45	63 days 00:00:00.000000000	6
377	Martin, Ricky	She Bangs	Latin	4.02	2000-10-07	2000-12-02	2	28	56 days 00:00:00.000000000	23
381	Third Eye Blind	Never Let You Go	Rock	3.57	2000-01-22	2000-04-01	2	32	70 days 00:00:00.000000000	19
383	Profyle	Liar	R&B	3.57	2000-09-16	2000-10-28	2	32	42 days 00:00:00.000000000	19
385	Jagged Edge	He Can't Love U	Rock	3.3	1999-12-11	2000-01-08	2	32	28 days 00:00:00.000000000	19
386	504 Boyz	Wobble Wobble	Rap	3.35	2000-04-15	2000-05-06	2	34	21 days 00:00:00.000000000	17
389	Kid Rock	Only God Knows Why	Rock	5.27	2000-02-19	2000-04-15	2	47	56 days 00:00:00.000000000	4
391	Dixie Chicks, The	Goodbye Earl	Country	4.19	2000-03-18	2000-05-06	2	29	49 days 00:00:00.000000000	22
392	Guy	Dancin'	R&B	4.08	1999-12-18	2000-01-01	2	29	14 days 00:00:00.000000000	22
393	Lil Bow Wow	Bounce With Me	Rap	3.22	2000-08-19	2000-09-16	2	35	28 days 00:00:00.000000000	16
397	Hanson	This Time Around	Country	4.14	2000-04-22	2000-05-06	2	22	14 days 00:00:00.000000000	29
406	Avant	Separated	Rock	4.13	2000-04-29	2000-05-20	2	32	21 days 00:00:00.000000000	19
410	Spears, Britney	Lucky	Rock	3.23	2000-08-12	2000-09-09	2	41	28 days 00:00:00.000000000	10
427	Hoku	Another Dumb Blonde	Pop	3.47	2000-02-19	2000-04-08	2	49	49 days 00:00:00.000000000	2
431	Carey, Mariah	Crybaby	Rock	5.19	2000-06-24	2000-06-24	2	34	0 days 00:00:00.000000000	17
434	Madonna	American Pie	Rock	4.3	2000-02-19	2000-03-04	2	35	14 days 00:00:00.000000000	16
