	Store Number	City	2015 Sales	2015 Sales mean	County Number	Price per Liter mean	Zip Code	2015 Volume Sold (Liters)	2015 Volume Sold (Liters) mean	2015 Margin mean	2015 Margin sum	2015 Sales Q1	2016 Sales Q1	County Name
0	2106	CEDAR FALLS	146038.7	277.640114068	7.0	17.8449972841	50613	9719.85	18.4788022814	92.6657794677	48742.2	39287.29	30478.75	Bremer
1	2113	GOWRIE	9310.22	63.334829932	94.0	18.5077000324	50543	659.85	4.4887755102	21.1499319728	3109.04	2833.25	2065.9	Scott
2	2130	WATERLOO	111583.91	285.38084399	7.0	16.8175889051	50703	6879.37	17.5942966752	95.2156521739	37229.32	24272.57	27856.11	Black Hawk
3	2152	ROCKWELL	7721.08	54.7594326241	17.0	13.020765122	50469	633.37	4.4919858156	18.3512765957	2587.53	2003.46	904.66	Story
4	2178	WAUKON	24324.18	102.633670886	3.0	16.0538441186	52172	1917.12	8.08911392405	34.4544303797	8165.7	5856.41	5588.5	Wright
5	2190	DES MOINES	121689.06	92.5392091255	77.0	23.3062274825	50314	6322.17	4.8077338403	30.8880076046	40617.73	29452.92	31803.06	Linn
6	2191	KEOKUK	125093.49	209.88840604	56.0	19.0640531492	52632	8053.32	13.5122818792	70.0409228188	41744.39	29085.57	47338.2	Wapello
7	2200	SAC CITY	22811.55	56.6043424318	81.0	16.7069689267	50583	1817.24	4.50928039702	18.9912406948	7653.47	4900.43	4174.87	Cerro Gordo
8	2205	CLARINDA	24623.01	85.7944599303	73.0	19.0937125916	51632	1555.41	5.41954703833	28.6573867596	8224.67	6407.74	3086.38	Polk
9	2228	WINTERSET	17462.07	72.758625	61.0	17.8901010338	50273	1367.65	5.69854166667	24.3514166667	5844.34	5193.97	6522.65	Benton
10	2233	SPIRIT LAKE	29553.34	122.627966805	30.0	19.9450824936	51360	2480.69	10.2933195021	40.9404979253	9866.66	5374.55	409.32	Polk
11	2238	ALTOONA	11762.56	192.828852459	77.0	22.5507494145	50009	705.75	11.5696721311	64.3057377049	3922.65	858.61	13998.44	Mahaska
12	2248	DES MOINES	67682.06	147.134913043	77.0	28.8186198545	50312	2815.35	6.12032608696	49.0967608696	22584.51	12663.68	12238.81	Scott
