"url","Newimgsmall image","Newimgsmall image_alt","Productpadding link","Productpadding link_link","Prodimg image","Prodimg image_alt","Prodimg image_link","Prodname value","Prodname value_link","Prodpricefamily price","Prodpricefamily price_link","Prodprice price","Prodprice price_link","Proddimension descriptions","Buyonline label","Buyonline label_link","Savetolist label","Savetolist label_link"
"http://www.ikea.com/us/en/search/?query=chair","","","HENRIKSDAL \n Chair \n \n IKEA FAMILY member price \n \n $119.20 \n Unit price \n \n \n Oct 25, 2016 -\nNov 14, 2016 While supplies last in participating US stores. \n \n \nRegular price\n $149.00 \n Unit price","http://www.ikea.com/us/en/catalog/products/50309681/","http://www.ikea.com/PIAimages/0105965_PE253735_S2.JPG","HENRIKSDAL Chair Tested for: 243 lb Width: 21 1/4 "" Depth: 22 7/8 "" Tested for: 110 kg Width: 54 cm Depth: 58 cm","http://www.ikea.com/us/en/catalog/products/50309681/","HENRIKSDAL","http://www.ikea.com/us/en/catalog/products/50309681/","$119.20","http://www.ikea.com/us/en/catalog/products/50309681/","$149.00","http://www.ikea.com/us/en/catalog/products/50309681/","Tested for: 243 lb; Width: 21 1/4 ""; Depth: 22 7/8 ""; Tested for: 110 kg; Width: 54 cm; Depth: 58 cm","Buy online","","Save to list",""
"http://www.ikea.com/us/en/search/?query=chair","","","ADDE \n Chair \n $12.50 \n Unit price","http://www.ikea.com/us/en/catalog/products/10219178/","http://www.ikea.com/PIAimages/0174114_PE328020_S2.JPG","ADDE Chair Tested for: 243 lb Width: 15 3/8 "" Depth: 18 1/2 "" Tested for: 110 kg Width: 39 cm Depth: 47 cm","http://www.ikea.com/us/en/catalog/products/10219178/","ADDE","http://www.ikea.com/us/en/catalog/products/10219178/","","","$12.50","http://www.ikea.com/us/en/catalog/products/10219178/","Tested for: 243 lb; Width: 15 3/8 ""; Depth: 18 1/2 ""; Tested for: 110 kg; Width: 39 cm; Depth: 47 cm","Buy online","","Save to list",""
"http://www.ikea.com/us/en/search/?query=chair","","","BERNHARD \n Chair \n $159.00 \n Unit price","http://www.ikea.com/us/en/catalog/products/80153070/","http://www.ikea.com/PIAimages/0094409_PE232293_S2.JPG","BERNHARD Chair Tested for: 243 lb Width: 19 1/4 "" Depth: 19 5/8 "" Tested for: 110 kg Width: 49 cm Depth: 50 cm","http://www.ikea.com/us/en/catalog/products/80153070/","BERNHARD","http://www.ikea.com/us/en/catalog/products/80153070/","","","$159.00","http://www.ikea.com/us/en/catalog/products/80153070/","Tested for: 243 lb; Width: 19 1/4 ""; Depth: 19 5/8 ""; Tested for: 110 kg; Width: 49 cm; Depth: 50 cm","Buy online","","Save to list",""
"http://www.ikea.com/us/en/search/?query=chair","","","KAUSTBY \n Chair \n $49.00 \n Unit price","http://www.ikea.com/us/en/catalog/products/10242838/","http://www.ikea.com/PIAimages/0173549_PE327684_S2.JPG","KAUSTBY Chair Tested for: 243 lb Width: 19 7/8 "" Depth: 18 7/8 "" Tested for: 110 kg Width: 50.5 cm Depth: 48.1 cm","http://www.ikea.com/us/en/catalog/products/10242838/","KAUSTBY","http://www.ikea.com/us/en/catalog/products/10242838/","","","$49.00","http://www.ikea.com/us/en/catalog/products/10242838/","Tested for: 243 lb; Width: 19 7/8 ""; Depth: 18 7/8 ""; Tested for: 110 kg; Width: 50.5 cm; Depth: 48.1 cm","Buy online","","Save to list",""
"http://www.ikea.com/us/en/search/?query=chair","","","STRANDMON \n Wing chair \n $279.00 \n Unit price","http://www.ikea.com/us/en/catalog/products/10300423/","http://www.ikea.com/PIAimages/0325432_PE517964_S2.JPG","STRANDMON Wing chair Width: 32 1/4 "" Depth: 37 3/4 "" Seat width: 19 1/4 "" Width: 82 cm Depth: 96 cm Seat width: 49 cm","http://www.ikea.com/us/en/catalog/products/10300423/","STRANDMON","http://www.ikea.com/us/en/catalog/products/10300423/","","","$279.00","http://www.ikea.com/us/en/catalog/products/10300423/","Width: 32 1/4 ""; Depth: 37 3/4 ""; Seat width: 19 1/4 ""; Width: 82 cm; Depth: 96 cm; Seat width: 49 cm","Buy online","","Save to list",""
"http://www.ikea.com/us/en/search/?query=chair","","","BJURSTA / HENRIKSDAL \n Table and 6 chairs \n \n IKEA FAMILY member price \n \n $964.20 \n Unit price \n \n \n Oct 25, 2016 -\nNov 14, 2016 While supplies last in participating US stores. \n \n \nRegular price\n $1,143.00 \n Unit price","http://www.ikea.com/us/en/catalog/products/S99129669/","http://www.ikea.com/PIAimages/0161444_PE316303_S2.JPG","BJURSTA / HENRIKSDAL Table and 6 chairs Length: 85 7/8 "" Min. length: 68 7/8 "" Max. length: 102 3/8 "" Length: 218 cm Min. length: 175 cm Max. length: 260 cm","http://www.ikea.com/us/en/catalog/products/S99129669/","BJURSTA / HENRIKSDAL","http://www.ikea.com/us/en/catalog/products/S99129669/","$964.20","http://www.ikea.com/us/en/catalog/products/S99129669/","$1,143.00","http://www.ikea.com/us/en/catalog/products/S99129669/","Length: 85 7/8 ""; Min. length: 68 7/8 ""; Max. length: 102 3/8 ""; Length: 218 cm; Min. length: 175 cm; Max. length: 260 cm","Buy online","","Save to list",""
"http://www.ikea.com/us/en/search/?query=chair","","","VILMAR \n Chair \n $39.00 \n Unit price","http://www.ikea.com/us/en/catalog/products/S79889750/","http://www.ikea.com/PIAimages/0125493_PE283073_S2.JPG","VILMAR Chair Tested for: 243 lb Width: 20 1/2 "" Depth: 21 5/8 "" Tested for: 110 kg Width: 52 cm Depth: 55 cm","http://www.ikea.com/us/en/catalog/products/S79889750/","VILMAR","http://www.ikea.com/us/en/catalog/products/S79889750/","","","$39.00","http://www.ikea.com/us/en/catalog/products/S79889750/","Tested for: 243 lb; Width: 20 1/2 ""; Depth: 21 5/8 ""; Tested for: 110 kg; Width: 52 cm; Depth: 55 cm","Buy online","","Save to list",""
"http://www.ikea.com/us/en/search/?query=chair","","","STORNÄS / HENRIKSDAL \n Table and 6 chairs \n \n IKEA FAMILY member price \n \n $924.20 \n Unit price \n \n \n Oct 25, 2016 -\nNov 14, 2016 While supplies last in participating US stores. \n \n \nRegular price\n $1,043.00 \n Unit price","http://www.ikea.com/us/en/catalog/products/S79917338/","http://www.ikea.com/PIAimages/0161446_PE316305_S2.JPG","STORNÄS / HENRIKSDAL Table and 6 chairs Length: 97 1/4 "" Min. length: 79 1/8 "" Max. length: 115 3/8 "" Length: 247 cm Min. length: 201 cm Max. length: 293 cm","http://www.ikea.com/us/en/catalog/products/S79917338/","STORNÄS / HENRIKSDAL","http://www.ikea.com/us/en/catalog/products/S79917338/","$924.20","http://www.ikea.com/us/en/catalog/products/S79917338/","$1,043.00","http://www.ikea.com/us/en/catalog/products/S79917338/","Length: 97 1/4 ""; Min. length: 79 1/8 ""; Max. length: 115 3/8 ""; Length: 247 cm; Min. length: 201 cm; Max. length: 293 cm","Buy online","","Save to list",""
"http://www.ikea.com/us/en/search/?query=chair","","","EKTORP \n Chair \n $319.00 \n Unit price","http://www.ikea.com/us/en/catalog/products/S29164897/","http://www.ikea.com/PIAimages/0386189_PE559140_S2.JPG","EKTORP Chair Width: 41 "" Depth: 34 5/8 "" Seat depth: 21 1/4 "" Width: 104 cm Depth: 88 cm Seat depth: 54 cm","http://www.ikea.com/us/en/catalog/products/S29164897/","EKTORP","http://www.ikea.com/us/en/catalog/products/S29164897/","","","$319.00","http://www.ikea.com/us/en/catalog/products/S29164897/","Width: 41 ""; Depth: 34 5/8 ""; Seat depth: 21 1/4 ""; Width: 104 cm; Depth: 88 cm; Seat depth: 54 cm","Buy online","","Save to list",""
"http://www.ikea.com/us/en/search/?query=chair","","","MARKUS \n Swivel chair \n $179.00 \n Unit price","http://www.ikea.com/us/en/catalog/products/90289172/","http://www.ikea.com/PIAimages/0324506_PE517017_S2.JPG","MARKUS Swivel chair Tested for: 242 lb 8 oz Width: 24 3/8 "" Depth: 23 5/8 "" Tested for: 110 kg Width: 62 cm Depth: 60 cm","http://www.ikea.com/us/en/catalog/products/90289172/","MARKUS","http://www.ikea.com/us/en/catalog/products/90289172/","","","$179.00","http://www.ikea.com/us/en/catalog/products/90289172/","Tested for: 242 lb 8 oz; Width: 24 3/8 ""; Depth: 23 5/8 ""; Tested for: 110 kg; Width: 62 cm; Depth: 60 cm","Buy online","","Save to list",""
